DYADID,Person,PID,Day,DayOfWeek,TIME,GENDER,GenderS,AConflict,PConflict,AconflictC,PconflictC,CAAvoid,CPAvoid,woman,man,ASATISF,PSATISF,AsatisfC,PsatisfC,AconflictC_mean,PconflictC_mean,AconflictCC,PconflictCC
1,1,11,11,4,3.5,1,Man,1,3,-0.99,1.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314,-0.204285714,0.152857143,-0.785714286,0.857142857
1,1,11,12,5,4.5,1,Man,2,2,0.01,0.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314,-0.204285714,0.152857143,0.214285714,-0.142857143
1,1,11,13,6,5.5,1,Man,2,2,0.01,0.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314,-0.204285714,0.152857143,0.214285714,-0.142857143
1,1,11,14,7,6.5,1,Man,2,2,0.01,0.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314,-0.204285714,0.152857143,0.214285714,-0.142857143
1,2,12,1,1,-6.5,-1,Woman,2,1,0.01,-0.99,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314,0.152857143,-0.204285714,-0.142857143,-0.785714286
1,2,12,2,2,-5.5,-1,Woman,3,4,1.01,2.01,-1.137742718,-0.887742718,1,0,6.75,7,0.425651314,0.675651314,0.152857143,-0.204285714,0.857142857,2.214285714
1,2,12,3,3,-4.5,-1,Woman,3,3,1.01,1.01,-1.137742718,-0.887742718,1,0,6.5,6.5,0.175651314,0.175651314,0.152857143,-0.204285714,0.857142857,1.214285714
1,2,12,4,4,-3.5,-1,Woman,2,2,0.01,0.01,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314,0.152857143,-0.204285714,-0.142857143,0.214285714
1,2,12,5,5,-2.5,-1,Woman,2,2,0.01,0.01,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314,0.152857143,-0.204285714,-0.142857143,0.214285714
1,2,12,6,6,-1.5,-1,Woman,2,1,0.01,-0.99,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314,0.152857143,-0.204285714,-0.142857143,-0.785714286
1,2,12,7,7,-0.5,-1,Woman,2,1,0.01,-0.99,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314,0.152857143,-0.204285714,-0.142857143,-0.785714286
1,2,12,8,1,0.5,-1,Woman,2,2,0.01,0.01,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314,0.152857143,-0.204285714,-0.142857143,0.214285714
1,2,12,9,2,1.5,-1,Woman,1,1,-0.99,-0.99,-1.137742718,-0.887742718,1,0,6.75,7,0.425651314,0.675651314,0.152857143,-0.204285714,-1.142857143,-0.785714286
1,2,12,10,3,2.5,-1,Woman,2,1,0.01,-0.99,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314,0.152857143,-0.204285714,-0.142857143,-0.785714286
1,2,12,11,4,3.5,-1,Woman,3,1,1.01,-0.99,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314,0.152857143,-0.204285714,0.857142857,-0.785714286
1,2,12,12,5,4.5,-1,Woman,2,2,0.01,0.01,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314,0.152857143,-0.204285714,-0.142857143,0.214285714
1,2,12,13,6,5.5,-1,Woman,2,2,0.01,0.01,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314,0.152857143,-0.204285714,-0.142857143,0.214285714
1,2,12,14,7,6.5,-1,Woman,2,2,0.01,0.01,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314,0.152857143,-0.204285714,-0.142857143,0.214285714
2,1,21,1,1,-6.5,1,Man,6,5,4.01,3.01,-0.262742718,-0.012742718,0,1,4.75,7,-1.574348686,0.675651314,0.152857143,0.01,3.857142857,3
2,1,21,2,2,-5.5,1,Man,1,1,-0.99,-0.99,-0.262742718,-0.012742718,0,1,7,7,0.675651314,0.675651314,0.152857143,0.01,-1.142857143,-1
2,1,21,3,3,-4.5,1,Man,1,1,-0.99,-0.99,-0.262742718,-0.012742718,0,1,6.25,7,-0.074348686,0.675651314,0.152857143,0.01,-1.142857143,-1
2,1,21,4,4,-3.5,1,Man,1,1,-0.99,-0.99,-0.262742718,-0.012742718,0,1,7,7,0.675651314,0.675651314,0.152857143,0.01,-1.142857143,-1
2,1,21,5,5,-2.5,1,Man,4,4,2.01,2.01,-0.262742718,-0.012742718,0,1,7,7,0.675651314,0.675651314,0.152857143,0.01,1.857142857,2
2,1,21,6,6,-1.5,1,Man,2,3,0.01,1.01,-0.262742718,-0.012742718,0,1,7,7,0.675651314,0.675651314,0.152857143,0.01,-0.142857143,1
2,1,21,7,7,-0.5,1,Man,3,4,1.01,2.01,-0.262742718,-0.012742718,0,1,7,7,0.675651314,0.675651314,0.152857143,0.01,0.857142857,2
2,1,21,8,1,0.5,1,Man,2,1,0.01,-0.99,-0.262742718,-0.012742718,0,1,7,7,0.675651314,0.675651314,0.152857143,0.01,-0.142857143,-1
2,1,21,9,2,1.5,1,Man,2,1,0.01,-0.99,-0.262742718,-0.012742718,0,1,7,7,0.675651314,0.675651314,0.152857143,0.01,-0.142857143,-1
2,1,21,10,3,2.5,1,Man,1,3,-0.99,1.01,-0.262742718,-0.012742718,0,1,7,7,0.675651314,0.675651314,0.152857143,0.01,-1.142857143,1
2,1,21,11,4,3.5,1,Man,3,1,1.01,-0.99,-0.262742718,-0.012742718,0,1,7,7,0.675651314,0.675651314,0.152857143,0.01,0.857142857,-1
2,1,21,12,5,4.5,1,Man,2,1,0.01,-0.99,-0.262742718,-0.012742718,0,1,7,7,0.675651314,0.675651314,0.152857143,0.01,-0.142857143,-1
2,1,21,13,6,5.5,1,Man,1,1,-0.99,-0.99,-0.262742718,-0.012742718,0,1,7,7,0.675651314,0.675651314,0.152857143,0.01,-1.142857143,-1
2,1,21,14,7,6.5,1,Man,1,1,-0.99,-0.99,-0.262742718,-0.012742718,0,1,7,7,0.675651314,0.675651314,0.152857143,0.01,-1.142857143,-1
2,2,22,1,1,-6.5,-1,Woman,5,6,3.01,4.01,-0.012742718,-0.262742718,1,0,7,4.75,0.675651314,-1.574348686,0.01,0.152857143,3,3.857142857
2,2,22,2,2,-5.5,-1,Woman,1,1,-0.99,-0.99,-0.012742718,-0.262742718,1,0,7,7,0.675651314,0.675651314,0.01,0.152857143,-1,-1.142857143
2,2,22,3,3,-4.5,-1,Woman,1,1,-0.99,-0.99,-0.012742718,-0.262742718,1,0,7,6.25,0.675651314,-0.074348686,0.01,0.152857143,-1,-1.142857143
2,2,22,4,4,-3.5,-1,Woman,1,1,-0.99,-0.99,-0.012742718,-0.262742718,1,0,7,7,0.675651314,0.675651314,0.01,0.152857143,-1,-1.142857143
2,2,22,5,5,-2.5,-1,Woman,4,4,2.01,2.01,-0.012742718,-0.262742718,1,0,7,7,0.675651314,0.675651314,0.01,0.152857143,2,1.857142857
2,2,22,6,6,-1.5,-1,Woman,3,2,1.01,0.01,-0.012742718,-0.262742718,1,0,7,7,0.675651314,0.675651314,0.01,0.152857143,1,-0.142857143
2,2,22,7,7,-0.5,-1,Woman,4,3,2.01,1.01,-0.012742718,-0.262742718,1,0,7,7,0.675651314,0.675651314,0.01,0.152857143,2,0.857142857
2,2,22,8,1,0.5,-1,Woman,1,2,-0.99,0.01,-0.012742718,-0.262742718,1,0,7,7,0.675651314,0.675651314,0.01,0.152857143,-1,-0.142857143
2,2,22,9,2,1.5,-1,Woman,1,2,-0.99,0.01,-0.012742718,-0.262742718,1,0,7,7,0.675651314,0.675651314,0.01,0.152857143,-1,-0.142857143
2,2,22,10,3,2.5,-1,Woman,3,1,1.01,-0.99,-0.012742718,-0.262742718,1,0,7,7,0.675651314,0.675651314,0.01,0.152857143,1,-1.142857143
2,2,22,11,4,3.5,-1,Woman,1,3,-0.99,1.01,-0.012742718,-0.262742718,1,0,7,7,0.675651314,0.675651314,0.01,0.152857143,-1,0.857142857
2,2,22,12,5,4.5,-1,Woman,1,2,-0.99,0.01,-0.012742718,-0.262742718,1,0,7,7,0.675651314,0.675651314,0.01,0.152857143,-1,-0.142857143
2,2,22,13,6,5.5,-1,Woman,1,1,-0.99,-0.99,-0.012742718,-0.262742718,1,0,7,7,0.675651314,0.675651314,0.01,0.152857143,-1,-1.142857143
2,2,22,14,7,6.5,-1,Woman,1,1,-0.99,-0.99,-0.012742718,-0.262742718,1,0,7,7,0.675651314,0.675651314,0.01,0.152857143,-1,-1.142857143
3,1,31,1,1,-6.5,1,Man,2,1,0.01,-0.99,0.237257282,0.987257282,0,1,5.75,5.75,-0.574348686,-0.574348686,0.367142857,-0.347142857,-0.357142857,-0.642857143
3,1,31,2,2,-5.5,1,Man,2,2,0.01,0.01,0.237257282,0.987257282,0,1,6.25,5,-0.074348686,-1.324348686,0.367142857,-0.347142857,-0.357142857,0.357142857
3,1,31,3,3,-4.5,1,Man,2,3,0.01,1.01,0.237257282,0.987257282,0,1,6.75,6.5,0.425651314,0.175651314,0.367142857,-0.347142857,-0.357142857,1.357142857
3,1,31,4,4,-3.5,1,Man,2,1,0.01,-0.99,0.237257282,0.987257282,0,1,6.25,6,-0.074348686,-0.324348686,0.367142857,-0.347142857,-0.357142857,-0.642857143
3,1,31,5,5,-2.5,1,Man,2,1,0.01,-0.99,0.237257282,0.987257282,0,1,6.5,6.25,0.175651314,-0.074348686,0.367142857,-0.347142857,-0.357142857,-0.642857143
3,1,31,6,6,-1.5,1,Man,4,2,2.01,0.01,0.237257282,0.987257282,0,1,6.75,6.25,0.425651314,-0.074348686,0.367142857,-0.347142857,1.642857143,0.357142857
3,1,31,7,7,-0.5,1,Man,2,2,0.01,0.01,0.237257282,0.987257282,0,1,6.5,5.5,0.175651314,-0.824348686,0.367142857,-0.347142857,-0.357142857,0.357142857
3,1,31,8,1,0.5,1,Man,4,1,2.01,-0.99,0.237257282,0.987257282,0,1,6.5,6.5,0.175651314,0.175651314,0.367142857,-0.347142857,1.642857143,-0.642857143
3,1,31,9,2,1.5,1,Man,1,1,-0.99,-0.99,0.237257282,0.987257282,0,1,6.5,6.5,0.175651314,0.175651314,0.367142857,-0.347142857,-1.357142857,-0.642857143
3,1,31,10,3,2.5,1,Man,3,2,1.01,0.01,0.237257282,0.987257282,0,1,4.25,6,-2.074348686,-0.324348686,0.367142857,-0.347142857,0.642857143,0.357142857
3,1,31,11,4,3.5,1,Man,1,1,-0.99,-0.99,0.237257282,0.987257282,0,1,6.5,6,0.175651314,-0.324348686,0.367142857,-0.347142857,-1.357142857,-0.642857143
3,1,31,12,1,4.5,1,Man,2,2,0.01,0.01,0.237257282,0.987257282,0,1,6.75,6.75,0.425651314,0.425651314,0.367142857,-0.347142857,-0.357142857,0.357142857
3,1,31,13,2,5.5,1,Man,4,2,2.01,0.01,0.237257282,0.987257282,0,1,6.75,6.5,0.425651314,0.175651314,0.367142857,-0.347142857,1.642857143,0.357142857
3,1,31,14,3,6.5,1,Man,2,2,0.01,0.01,0.237257282,0.987257282,0,1,7,6.25,0.675651314,-0.074348686,0.367142857,-0.347142857,-0.357142857,0.357142857
3,2,32,1,1,-6.5,-1,Woman,1,2,-0.99,0.01,0.987257282,0.237257282,1,0,5.75,5.75,-0.574348686,-0.574348686,-0.347142857,0.367142857,-0.642857143,-0.357142857
3,2,32,2,2,-5.5,-1,Woman,2,2,0.01,0.01,0.987257282,0.237257282,1,0,5,6.25,-1.324348686,-0.074348686,-0.347142857,0.367142857,0.357142857,-0.357142857
3,2,32,3,3,-4.5,-1,Woman,3,2,1.01,0.01,0.987257282,0.237257282,1,0,6.5,6.75,0.175651314,0.425651314,-0.347142857,0.367142857,1.357142857,-0.357142857
3,2,32,4,4,-3.5,-1,Woman,1,2,-0.99,0.01,0.987257282,0.237257282,1,0,6,6.25,-0.324348686,-0.074348686,-0.347142857,0.367142857,-0.642857143,-0.357142857
3,2,32,5,5,-2.5,-1,Woman,1,2,-0.99,0.01,0.987257282,0.237257282,1,0,6.25,6.5,-0.074348686,0.175651314,-0.347142857,0.367142857,-0.642857143,-0.357142857
3,2,32,6,6,-1.5,-1,Woman,2,4,0.01,2.01,0.987257282,0.237257282,1,0,6.25,6.75,-0.074348686,0.425651314,-0.347142857,0.367142857,0.357142857,1.642857143
3,2,32,7,7,-0.5,-1,Woman,2,2,0.01,0.01,0.987257282,0.237257282,1,0,5.5,6.5,-0.824348686,0.175651314,-0.347142857,0.367142857,0.357142857,-0.357142857
3,2,32,8,1,0.5,-1,Woman,1,4,-0.99,2.01,0.987257282,0.237257282,1,0,6.5,6.5,0.175651314,0.175651314,-0.347142857,0.367142857,-0.642857143,1.642857143
3,2,32,9,2,1.5,-1,Woman,1,1,-0.99,-0.99,0.987257282,0.237257282,1,0,6.5,6.5,0.175651314,0.175651314,-0.347142857,0.367142857,-0.642857143,-1.357142857
3,2,32,10,3,2.5,-1,Woman,2,3,0.01,1.01,0.987257282,0.237257282,1,0,6,4.25,-0.324348686,-2.074348686,-0.347142857,0.367142857,0.357142857,0.642857143
3,2,32,11,4,3.5,-1,Woman,1,1,-0.99,-0.99,0.987257282,0.237257282,1,0,6,6.5,-0.324348686,0.175651314,-0.347142857,0.367142857,-0.642857143,-1.357142857
3,2,32,12,1,4.5,-1,Woman,2,2,0.01,0.01,0.987257282,0.237257282,1,0,6.75,6.75,0.425651314,0.425651314,-0.347142857,0.367142857,0.357142857,-0.357142857
3,2,32,13,2,5.5,-1,Woman,2,4,0.01,2.01,0.987257282,0.237257282,1,0,6.5,6.75,0.175651314,0.425651314,-0.347142857,0.367142857,0.357142857,1.642857143
3,2,32,14,3,6.5,-1,Woman,2,2,0.01,0.01,0.987257282,0.237257282,1,0,6.25,7,-0.074348686,0.675651314,-0.347142857,0.367142857,0.357142857,-0.357142857
4,1,41,1,1,-6.5,1,Man,5,5,3.01,3.01,1.362257282,0.487257282,0,1,5,4.5,-1.324348686,-1.824348686,0.152857143,0.724285714,2.857142857,2.285714286
4,1,41,2,2,-5.5,1,Man,3,6,1.01,4.01,1.362257282,0.487257282,0,1,5.25,5.75,-1.074348686,-0.574348686,0.152857143,0.724285714,0.857142857,3.285714286
4,1,41,3,3,-4.5,1,Man,1,1,-0.99,-0.99,1.362257282,0.487257282,0,1,5.25,7,-1.074348686,0.675651314,0.152857143,0.724285714,-1.142857143,-1.714285714
4,1,41,4,4,-3.5,1,Man,3,4,1.01,2.01,1.362257282,0.487257282,0,1,5,6.25,-1.324348686,-0.074348686,0.152857143,0.724285714,0.857142857,1.285714286
4,1,41,5,5,-2.5,1,Man,1,3,-0.99,1.01,1.362257282,0.487257282,0,1,5.5,5,-0.824348686,-1.324348686,0.152857143,0.724285714,-1.142857143,0.285714286
4,1,41,6,6,-1.5,1,Man,3,3,1.01,1.01,1.362257282,0.487257282,0,1,5.5,6,-0.824348686,-0.324348686,0.152857143,0.724285714,0.857142857,0.285714286
4,1,41,7,7,-0.5,1,Man,1,2,-0.99,0.01,1.362257282,0.487257282,0,1,4.75,7,-1.574348686,0.675651314,0.152857143,0.724285714,-1.142857143,-0.714285714
4,1,41,8,1,0.5,1,Man,1,1,-0.99,-0.99,1.362257282,0.487257282,0,1,5.5,6.25,-0.824348686,-0.074348686,0.152857143,0.724285714,-1.142857143,-1.714285714
4,1,41,9,2,1.5,1,Man,3,3,1.01,1.01,1.362257282,0.487257282,0,1,5.25,5.5,-1.074348686,-0.824348686,0.152857143,0.724285714,0.857142857,0.285714286
4,1,41,10,3,2.5,1,Man,4,1,2.01,-0.99,1.362257282,0.487257282,0,1,5,7,-1.324348686,0.675651314,0.152857143,0.724285714,1.857142857,-1.714285714
4,1,41,11,4,3.5,1,Man,1,1,-0.99,-0.99,1.362257282,0.487257282,0,1,6,5.75,-0.324348686,-0.574348686,0.152857143,0.724285714,-1.142857143,-1.714285714
4,1,41,12,5,4.5,1,Man,2,2,0.01,0.01,1.362257282,0.487257282,0,1,5.75,7,-0.574348686,0.675651314,0.152857143,0.724285714,-0.142857143,-0.714285714
4,1,41,13,6,5.5,1,Man,1,4,-0.99,2.01,1.362257282,0.487257282,0,1,5,4.25,-1.324348686,-2.074348686,0.152857143,0.724285714,-1.142857143,1.285714286
4,1,41,14,7,6.5,1,Man,1,2,-0.99,0.01,1.362257282,0.487257282,0,1,6,7,-0.324348686,0.675651314,0.152857143,0.724285714,-1.142857143,-0.714285714
4,2,42,1,1,-6.5,-1,Woman,5,5,3.01,3.01,0.487257282,1.362257282,1,0,4.5,5,-1.824348686,-1.324348686,0.724285714,0.152857143,2.285714286,2.857142857
4,2,42,2,2,-5.5,-1,Woman,6,3,4.01,1.01,0.487257282,1.362257282,1,0,5.75,5.25,-0.574348686,-1.074348686,0.724285714,0.152857143,3.285714286,0.857142857
4,2,42,3,3,-4.5,-1,Woman,1,1,-0.99,-0.99,0.487257282,1.362257282,1,0,7,5.25,0.675651314,-1.074348686,0.724285714,0.152857143,-1.714285714,-1.142857143
4,2,42,4,4,-3.5,-1,Woman,4,3,2.01,1.01,0.487257282,1.362257282,1,0,6.25,5,-0.074348686,-1.324348686,0.724285714,0.152857143,1.285714286,0.857142857
4,2,42,5,5,-2.5,-1,Woman,3,1,1.01,-0.99,0.487257282,1.362257282,1,0,5,5.5,-1.324348686,-0.824348686,0.724285714,0.152857143,0.285714286,-1.142857143
4,2,42,6,6,-1.5,-1,Woman,3,3,1.01,1.01,0.487257282,1.362257282,1,0,6,5.5,-0.324348686,-0.824348686,0.724285714,0.152857143,0.285714286,0.857142857
4,2,42,7,7,-0.5,-1,Woman,2,1,0.01,-0.99,0.487257282,1.362257282,1,0,7,4.75,0.675651314,-1.574348686,0.724285714,0.152857143,-0.714285714,-1.142857143
4,2,42,8,1,0.5,-1,Woman,1,1,-0.99,-0.99,0.487257282,1.362257282,1,0,6.25,5.5,-0.074348686,-0.824348686,0.724285714,0.152857143,-1.714285714,-1.142857143
4,2,42,9,2,1.5,-1,Woman,3,3,1.01,1.01,0.487257282,1.362257282,1,0,5.5,5.25,-0.824348686,-1.074348686,0.724285714,0.152857143,0.285714286,0.857142857
4,2,42,10,3,2.5,-1,Woman,1,4,-0.99,2.01,0.487257282,1.362257282,1,0,7,5,0.675651314,-1.324348686,0.724285714,0.152857143,-1.714285714,1.857142857
4,2,42,11,4,3.5,-1,Woman,1,1,-0.99,-0.99,0.487257282,1.362257282,1,0,5.75,6,-0.574348686,-0.324348686,0.724285714,0.152857143,-1.714285714,-1.142857143
4,2,42,12,5,4.5,-1,Woman,2,2,0.01,0.01,0.487257282,1.362257282,1,0,7,5.75,0.675651314,-0.574348686,0.724285714,0.152857143,-0.714285714,-0.142857143
4,2,42,13,6,5.5,-1,Woman,4,1,2.01,-0.99,0.487257282,1.362257282,1,0,4.25,5,-2.074348686,-1.324348686,0.724285714,0.152857143,1.285714286,-1.142857143
4,2,42,14,7,6.5,-1,Woman,2,1,0.01,-0.99,0.487257282,1.362257282,1,0,7,6,0.675651314,-0.324348686,0.724285714,0.152857143,-0.714285714,-1.142857143
5,1,51,1,1,-6.5,1,Man,2,1,0.01,-0.99,1.237257282,-0.387742718,0,1,6.25,7,-0.074348686,0.675651314,-0.132857143,0.938571429,0.142857143,-1.928571429
5,1,51,2,2,-5.5,1,Man,2,3,0.01,1.01,1.237257282,-0.387742718,0,1,7,7,0.675651314,0.675651314,-0.132857143,0.938571429,0.142857143,0.071428571
5,1,51,3,3,-4.5,1,Man,2,5,0.01,3.01,1.237257282,-0.387742718,0,1,6.5,7,0.175651314,0.675651314,-0.132857143,0.938571429,0.142857143,2.071428571
5,1,51,4,4,-3.5,1,Man,1,2,-0.99,0.01,1.237257282,-0.387742718,0,1,6.75,7,0.425651314,0.675651314,-0.132857143,0.938571429,-0.857142857,-0.928571429
5,1,51,5,5,-2.5,1,Man,1,1,-0.99,-0.99,1.237257282,-0.387742718,0,1,6,6.75,-0.324348686,0.425651314,-0.132857143,0.938571429,-0.857142857,-1.928571429
5,1,51,6,6,-1.5,1,Man,1,2,-0.99,0.01,1.237257282,-0.387742718,0,1,7,6.25,0.675651314,-0.074348686,-0.132857143,0.938571429,-0.857142857,-0.928571429
5,1,51,7,7,-0.5,1,Man,1,3,-0.99,1.01,1.237257282,-0.387742718,0,1,7,7,0.675651314,0.675651314,-0.132857143,0.938571429,-0.857142857,0.071428571
5,1,51,8,1,0.5,1,Man,3,6,1.01,4.01,1.237257282,-0.387742718,0,1,6.5,6.75,0.175651314,0.425651314,-0.132857143,0.938571429,1.142857143,3.071428571
5,1,51,9,2,1.5,1,Man,5,5,3.01,3.01,1.237257282,-0.387742718,0,1,6,7,-0.324348686,0.675651314,-0.132857143,0.938571429,3.142857143,2.071428571
5,1,51,10,3,2.5,1,Man,2,4,0.01,2.01,1.237257282,-0.387742718,0,1,6,7,-0.324348686,0.675651314,-0.132857143,0.938571429,0.142857143,1.071428571
5,1,51,11,4,3.5,1,Man,1,1,-0.99,-0.99,1.237257282,-0.387742718,0,1,6,7,-0.324348686,0.675651314,-0.132857143,0.938571429,-0.857142857,-1.928571429
5,1,51,12,5,4.5,1,Man,2,2,0.01,0.01,1.237257282,-0.387742718,0,1,6,7,-0.324348686,0.675651314,-0.132857143,0.938571429,0.142857143,-0.928571429
5,1,51,13,6,5.5,1,Man,1,3,-0.99,1.01,1.237257282,-0.387742718,0,1,6,7,-0.324348686,0.675651314,-0.132857143,0.938571429,-0.857142857,0.071428571
5,1,51,14,7,6.5,1,Man,2,3,0.01,1.01,1.237257282,-0.387742718,0,1,7,7,0.675651314,0.675651314,-0.132857143,0.938571429,0.142857143,0.071428571
5,2,52,1,1,-6.5,-1,Woman,1,2,-0.99,0.01,-0.387742718,1.237257282,1,0,7,6.25,0.675651314,-0.074348686,0.938571429,-0.132857143,-1.928571429,0.142857143
5,2,52,2,2,-5.5,-1,Woman,3,2,1.01,0.01,-0.387742718,1.237257282,1,0,7,7,0.675651314,0.675651314,0.938571429,-0.132857143,0.071428571,0.142857143
5,2,52,3,3,-4.5,-1,Woman,5,2,3.01,0.01,-0.387742718,1.237257282,1,0,7,6.5,0.675651314,0.175651314,0.938571429,-0.132857143,2.071428571,0.142857143
5,2,52,4,4,-3.5,-1,Woman,2,1,0.01,-0.99,-0.387742718,1.237257282,1,0,7,6.75,0.675651314,0.425651314,0.938571429,-0.132857143,-0.928571429,-0.857142857
5,2,52,5,5,-2.5,-1,Woman,1,1,-0.99,-0.99,-0.387742718,1.237257282,1,0,6.75,6,0.425651314,-0.324348686,0.938571429,-0.132857143,-1.928571429,-0.857142857
5,2,52,6,6,-1.5,-1,Woman,2,1,0.01,-0.99,-0.387742718,1.237257282,1,0,6.25,7,-0.074348686,0.675651314,0.938571429,-0.132857143,-0.928571429,-0.857142857
5,2,52,7,7,-0.5,-1,Woman,3,1,1.01,-0.99,-0.387742718,1.237257282,1,0,7,7,0.675651314,0.675651314,0.938571429,-0.132857143,0.071428571,-0.857142857
5,2,52,8,1,0.5,-1,Woman,6,3,4.01,1.01,-0.387742718,1.237257282,1,0,6.75,6.5,0.425651314,0.175651314,0.938571429,-0.132857143,3.071428571,1.142857143
5,2,52,9,2,1.5,-1,Woman,5,5,3.01,3.01,-0.387742718,1.237257282,1,0,7,6,0.675651314,-0.324348686,0.938571429,-0.132857143,2.071428571,3.142857143
5,2,52,10,3,2.5,-1,Woman,4,2,2.01,0.01,-0.387742718,1.237257282,1,0,7,6,0.675651314,-0.324348686,0.938571429,-0.132857143,1.071428571,0.142857143
5,2,52,11,4,3.5,-1,Woman,1,1,-0.99,-0.99,-0.387742718,1.237257282,1,0,7,6,0.675651314,-0.324348686,0.938571429,-0.132857143,-1.928571429,-0.857142857
5,2,52,12,5,4.5,-1,Woman,2,2,0.01,0.01,-0.387742718,1.237257282,1,0,7,6,0.675651314,-0.324348686,0.938571429,-0.132857143,-0.928571429,0.142857143
5,2,52,13,6,5.5,-1,Woman,3,1,1.01,-0.99,-0.387742718,1.237257282,1,0,7,6,0.675651314,-0.324348686,0.938571429,-0.132857143,0.071428571,-0.857142857
5,2,52,14,7,6.5,-1,Woman,3,2,1.01,0.01,-0.387742718,1.237257282,1,0,7,7,0.675651314,0.675651314,0.938571429,-0.132857143,0.071428571,0.142857143
8,1,81,1,1,-6.5,1,Man,2,2,0.01,0.01,-0.387742718,-0.387742718,0,1,7,7,0.675651314,0.675651314,-0.347142857,0.152857143,0.357142857,-0.142857143
8,1,81,2,2,-5.5,1,Man,2,5,0.01,3.01,-0.387742718,-0.387742718,0,1,6.75,6.25,0.425651314,-0.074348686,-0.347142857,0.152857143,0.357142857,2.857142857
8,1,81,3,3,-4.5,1,Man,1,3,-0.99,1.01,-0.387742718,-0.387742718,0,1,6.75,6.5,0.425651314,0.175651314,-0.347142857,0.152857143,-0.642857143,0.857142857
8,1,81,4,4,-3.5,1,Man,1,1,-0.99,-0.99,-0.387742718,-0.387742718,0,1,6.75,7,0.425651314,0.675651314,-0.347142857,0.152857143,-0.642857143,-1.142857143
8,1,81,5,5,-2.5,1,Man,5,5,3.01,3.01,-0.387742718,-0.387742718,0,1,5.75,6.5,-0.574348686,0.175651314,-0.347142857,0.152857143,3.357142857,2.857142857
8,1,81,6,6,-1.5,1,Man,3,2,1.01,0.01,-0.387742718,-0.387742718,0,1,6.75,7,0.425651314,0.675651314,-0.347142857,0.152857143,1.357142857,-0.142857143
8,1,81,7,7,-0.5,1,Man,2,2,0.01,0.01,-0.387742718,-0.387742718,0,1,6.75,7,0.425651314,0.675651314,-0.347142857,0.152857143,0.357142857,-0.142857143
