consent,Q19,Q15,Q17,Q18,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q27,Q29_1,Q29_2,Q48,Q50,Q50_5_TEXT,Q51,Q51_6_TEXT,IV1,IV2
1,1,4,3,4,5,5,4,3,6,4,3,7,7,7,7,2,,7,,6,3,19,4,,3,,1,1
1,1,4,2,3,3,3,4,3,4,3,,3,3,4,5,3,4,3,,2,4,20,2,,4,,1,2
1,1,5,3,4,5,5,5,5,4,4,6,5,4,5,5,3,5,7,2,5,5,18,2,,3,,2,2
1,1,4,4,7,7,7,7,2,5,1,4,7,3,7,7,1,1,7,1,3,5,18,2,,1,,1,2
1,1,6,3,5,5,3,4,4,6,4,4,6,4,5,4,4,4,5,,5,4,18,6,,2,,1,1
1,1,4,3,3,4,5,5,3,3,4,3,6,4,7,4,4,6,,2,4,4,19,2,,2,,2,1
1,1,4,4,4,3,5,3,5,7,2,3,6,5,5,5,2,5,5,1,6,3,18,2,,3,,1,1
1,1,6,4,5,6,6,6,,5,,,7,7,7,7,3,7,6,2,,,19,2,,3,,2,1
1,1,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,5,24,1,,2,,2,2
1,1,5,3,7,6,7,7,7,5,6,4,5,4,7,7,5,7,7,,1,6,18,2,,3,,2,2
1,1,6,5,6,7,4,5,5,4,6,5,7,5,7,6,3,6,6,1,5,3,19,2,,3,,1,2
1,1,5,4,5,5,3,3,5,7,5,4,,5,5,4,4,5,6,1,6,,19,2,,3,,1,1
1,1,5,3,4,5,4,4,5,4,6,7,6,5,6,4,3,6,7,2,2,0,19,2,,3,,2,2
1,1,7,4,6,7,7,7,4,7,7,5,7,5,7,7,3,7,7,1,7,,19,2,,2,,1,1
1,1,2,3,5,6,6,6,6,6,6,6,7,1,6,7,3,7,6,2,3,3,18,2,,3,,2,1
1,1,6,5,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,1,3,5,18,2,,2,,1,2
1,1,6,3,5,6,4,5,5,4,5,5,7,4,6,7,4,6,6,,2,5,18,2,,3,,2,2
1,1,5,3,6,7,6,7,4,6,6,6,7,5,7,6,4,7,5,1,7,3,19,2,,3,,1,1
1,1,5,4,5,6,6,6,3,3,3,4,7,4,7,7,5,5,6,1,2,7,21,2,,1,,1,2
1,1,6,6,6,7,7,7,5,6,6,5,7,6,7,7,1,6,7,,4,4,19,2,,3,,2,1
1,1,6,5,6,6,6,6,5,3,6,6,6,6,6,6,3,5,6,2,4,5,21,2,,3,,2,2
1,1,1,8,3,3,3,3,2,1,4,4,7,5,7,7,2,7,7,1,4,2,2019,2,,3,,1,1
1,1,4,4,5,6,7,6,5,7,5,5,7,4,7,7,3,5,7,,2,5,18,2,,4,,2,1
1,1,6,5,6,7,4,7,7,4,7,7,7,7,7,7,4,7,7,1,,,18,2,,3,,1,2
1,1,1,8,1,4,5,7,7,3,7,7,7,3,4,7,4,7,7,,4,4,19,3,,2,,1,1
1,1,5,5,6,6,6,6,6,7,6,6,,4,6,6,4,6,4,,,3,19,2,,3,,1,1
1,1,6,5,6,7,5,7,7,5,7,7,7,4,7,7,6,6,7,1,4,4,18,2,,2,,1,2
1,1,4,4,4,4,3,4,4,3,4,5,6,2,6,6,4,6,6,,4,6,21,2,,2,,2,1
1,1,3,8,2,6,3,6,5,,7,3,4,5,3,4,5,4,,2,3,6,21,2,,2,,2,2
1,1,2,8,6,6,3,6,5,4,4,4,7,7,7,7,3,5,5,1,4,4,19,1,,2,,2,2
1,1,4,3,5,,6,4,7,4,6,5,7,6,6,7,3,6,6,,4,5,18,2,,2,,1,1
1,1,5,2,3,6,6,6,4,7,7,7,7,7,7,7,4,6,7,1,6,2,19,2,,3,,1,2
1,1,6,5,7,5,5,5,3,2,5,3,7,7,7,7,1,7,6,2,4,6,26,1,,2,,2,2
1,1,5,4,5,6,7,6,5,5,7,6,7,5,7,7,3,4,6,2,7,7,18,2,,3,,2,1
1,1,5,5,6,6,5,6,5,6,5,5,6,4,7,6,4,7,6,1,4,4,60,1,,3,,1,1
1,1,2,8,3,4,3,4,3,3,4,4,6,6,6,6,3,4,6,1,4,4,19,2,,4,,1,2
1,1,7,6,7,4,3,5,7,4,7,7,7,4,7,7,2,2,7,,6,4,19,2,,3,,1,1
1,1,2,8,2,3,3,4,3,3,4,4,6,6,6,6,3,6,7,1,4,4,19,2,,4,,1,2
1,1,7,5,5,6,7,6,5,7,7,5,7,7,7,7,5,6,6,2,4,4,18,2,,3,,2,1
1,1,5,4,5,6,4,4,5,4,4,4,6,6,6,6,4,5,5,,3,4,21,2,,2,,1,2
1,1,4,3,4,3,3,3,2,1,1,2,7,4,7,6,3,5,5,,1,1,19,2,,2,,2,2
1,1,5,3,4,4,4,5,6,3,4,4,7,5,7,7,5,4,7,2,,7,22,2,,4,,2,1
1,1,5,3,5,7,6,6,5,4,5,4,7,5,5,6,2,6,6,,3,5,18,2,,2,,2,2
1,1,6,5,4,4,4,4,4,4,4,4,7,4,7,7,4,7,5,,7,7,19,2,,1,,1,2
1,1,6,4,6,7,6,5,6,7,5,6,7,5,6,7,4,6,7,1,7,0,20,2,,6,"i am white, and would like my half credit to go to my PSY100 course",1,1
1,1,3,2,3,4,4,5,4,4,5,5,5,5,6,6,6,7,7,2,4,6,18,2,,1,,2,1
1,1,5,3,4,6,6,6,4,3,5,6,7,6,7,7,1,6,6,2,,7,20,2,,2,,2,2
1,1,2,8,7,4,6,5,4,5,5,6,6,6,7,5,5,6,6,2,6,3,19,1,,2,,1,2
1,1,4,4,3,6,6,6,4,4,5,3,7,4,7,7,4,7,7,2,2,6,18,2,,2,,2,2
1,1,3,2,3,6,4,7,7,4,6,7,7,4,7,7,4,7,7,,4,4,21,2,,2,,1,1
1,1,6,4,5,6,6,6,6,7,6,6,6,5,6,6,3,4,7,2,5,4,19,2,,3,,2,1
1,1,5,4,6,6,6,5,3,5,3,4,5,1,7,7,1,5,7,2,5,3,19,2,,3,,1,1
1,1,7,4,5,5,7,5,3,3,7,5,7,7,7,5,3,5,7,1,,,56,2,,3,,1,2
1,1,7,5,6,6,4,6,4,4,6,5,7,3,7,4,2,3,7,2,1,6,20,5,Nonbinary,6,Biracial: White & Hispanic,2,2
1,1,5,4,5,5,5,6,6,6,5,5,6,4,7,6,2,7,5,2,4,4,18,2,,2,,2,1
1,1,5,4,6,5,5,6,6,5,6,6,6,4,7,6,2,6,5,2,4,4,18,2,,2,,2,2
1,1,5,3,5,6,5,5,3,4,6,5,6,5,6,7,5,6,7,2,2,5,18,2,,3,,2,1
1,1,3,2,3,6,7,5,4,6,3,5,7,6,7,7,3,7,7,1,6,2,18,2,,3,,1,1
1,1,4,3,5,6,6,6,6,6,6,6,7,5,7,7,2,7,7,1,4,5,18,2,,3,,1,2
1,1,4,3,4,5,4,5,4,6,4,4,5,4,7,6,4,6,5,1,5,3,18,2,,3,,1,1
1,1,2,3,5,3,7,4,5,3,4,3,7,4,7,7,2,7,7,2,1,7,20,2,,2,,2,2
1,1,6,3,5,5,4,5,4,3,4,5,6,4,6,5,3,6,6,2,3,3,19,2,,3,,2,1
1,1,6,4,5,7,7,6,6,5,7,7,7,7,7,7,2,6,7,,5,4,20,2,,3,,1,2
1,1,3,2,3,2,7,2,3,1,1,1,7,4,7,7,4,7,7,2,1,7,18,2,,1,,2,2
1,1,5,2,5,7,5,4,3,6,1,1,7,7,7,5,1,5,4,1,7,1,18,3,,3,,1,1
1,1,6,5,6,5,6,6,5,5,6,6,7,6,7,7,3,7,7,1,4,5,19,2,,6,Multiracial,1,2
1,1,5,5,5,6,5,5,5,3,4,6,7,5,7,6,3,5,6,2,3,4,18,2,,4,,2,1
1,1,5,4,5,6,6,6,6,7,6,5,7,7,7,7,4,7,7,1,7,1,19,2,,1,,1,1
1,1,6,5,6,7,6,7,6,5,6,6,6,5,7,7,3,6,7,1,3,5,20,2,,3,,1,2
1,1,4,3,4,5,2,4,4,6,5,6,7,4,7,6,1,5,6,2,4,4,18,2,,1,,2,1
1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1
1,1,6,4,5,6,6,6,5,5,6,6,6,5,5,6,4,6,6,2,2,6,19,2,,2,,2,2
1,1,6,5,5,,,,,,,,,,,,,,,,,,,,,,,1,2
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,2
1,1,3,3,4,,,,,,,,,,,,,,,,,,,,,,,1,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
1,1,4,3,4,5,2,6,6,5,6,6,7,2,7,7,7,2,7,,,,,,,,,2,2
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1,1,4,3,4,7,2,4,2,1,6,5,6,4,7,7,5,5,7,,7,7,junior,2,,1,,1,2
1,1,7,3,4,7,4,7,1,1,7,7,7,7,7,7,7,7,7,2,1,7,18,2,,2,,2,1
1,1,5,4,6,5,5,4,4,6,4,4,6,6,7,6,4,5,7,1,5,1,19,2,,4,,1,1
1,1,3,2,3,5,3,4,3,4,4,5,7,5,7,7,4,7,7,2,3,6,18,2,,7,,2,2
1,1,7,5,6,6,6,6,5,1,7,4,7,6,7,7,4,7,7,,5,5,18,2,,3,,2,2
1,1,4,3,4,4,5,1,1,4,3,3,3,3,4,5,5,3,4,,4,5,19,2,,3,,1,2
1,1,5,4,6,7,6,7,6,7,7,6,7,5,7,7,5,7,7,,4,4,18,2,,2,,1,1
1,1,4,2,3,6,7,5,4,6,7,3,7,5,7,7,1,5,7,2,5,5,19,2,,3,,2,1
1,1,5,2,5,7,5,6,5,7,5,5,7,7,7,7,3,7,7,1,7,5,19,2,,3,,1,1
1,1,3,2,3,7,5,7,3,4,4,4,7,3,7,6,3,7,7,1,4,4,18,2,,2,,2,1
1,1,4,4,5,6,4,5,5,4,6,2,7,5,7,7,5,7,7,2,4,6,18,2,,3,,2,2
1,1,4,3,4,7,4,5,4,5,7,7,7,5,7,6,2,7,7,2,1,1,20,2,,6,,2,2
1,1,4,4,6,6,5,5,5,7,6,6,7,1,7,7,5,7,7,2,6,6,19,2,,4,,2,1
1,1,5,5,5,6,6,7,4,5,6,6,7,7,7,7,3,7,7,,3,6,19,2,,2,,1,2
1,1,4,3,5,5,6,6,5,4,6,6,7,3,7,5,3,6,6,1,7,1,19,2,,4,,1,1
1,1,6,4,6,6,2,6,6,4,6,6,6,3,6,6,2,6,6,2,5,6,19,6,,7,,2,1
1,1,3,3,5,5,5,5,4,4,4,5,7,5,7,7,5,7,7,,4,4,21,2,,3,,2,2
